Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, Image ,, 
Annapurna Circuit Trek ,, 85250 ,, 14days ,, 4.8  ,, Private Tour   ,, Moderate ,, Unique Path Trekking & Expedition (P) LTD. ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-191_1540974319.JPG ,, 
Ghorepani Poonhill Trek ,, 39050 ,, 5days ,, 5.0  ,, Private Tour   ,, Easy ,, Outshine Adventure Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ghorepani-poonhill-trek-tour-2-18296_1510029029.JPG ,, 
Annapurna Circuit Trek ,, 108900 ,, 18days ,, 4.9  ,, Private Tour   ,, Medium ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-20828_1542764133.JPG ,, 
Everest Base Camp Trek ,, 120890 ,, 12days ,, 4.8  ,, Private Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-984_1533801796.JPG ,, 
Ghorepani Poon Hill Sunrise Trekking ,, 60500 ,, 6days ,, 5.0  ,, Private Tour   ,, Moderate ,, Nepal Hiking Team ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ghorepani-poon-hill-sunrise-trekking-tour-2-462214_1547609583.JPG ,, 
Everest Panorama View Trek - 6 Days ,, 90200 ,, 6days ,, 4.3  ,, Private Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-panorama-view-trek-6-days-tour-2-29008_1536301180.JPG ,, 
Everest Base Camp With Island Peak ,, 175890 ,, 19days ,, 5.0  ,, Group Tour   ,, Very Hard ,, Ace the Himalaya ,, Island Peak ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-with-island-peak-tour-2-269968_1524993787.JPG ,, 
Island Peak Climbing With Everest Base Camp And Gokyo ,, 241450 ,, 23days ,, 4.4  ,, Private Tour   ,, nan ,, Buddha Treks and Expedition ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/island-peak-climbing-with-everest-base-camp-and-gokyo-tour-2-128908_1510029029.JPG ,, 
Langtang Valley Trek ,, 54890 ,, 8days ,, 4.8  ,, Private and Group Tour   ,, Moderate ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-valley-trek-tour-2-260087_1542003186.JPG ,, 
Nagarkot Trek (Trek In Kathmandu) ,, 20790 ,, 3days ,, 4.2  ,, Private Tour   ,, Easy ,, Breakfree Adventures Pvt Ltd ,, Nagarkot ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nagarkot-trek-trek-in-kathmandu-tour-2-20885_1510029029.JPG ,, 
Everest Base Camp Trek - Expedition Departures ,, 358050 ,, 18days ,, 4.9  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-expedition-departures-tour-2-309607_1511257156.JPG ,, 
Island Peak Climb From Chhukung (Group Tour) ,, 82500 ,, 4days ,, 3.8  ,, Private and Group Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/island-peak-climb-from-chhukung-group-tour-tour-2-257703_1544421165.JPG ,, 
Gokyo Renjo La Pass Trek ,, 121000 ,, 12days ,, 4.8  ,, Private and Group Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-renjo-la-pass-trek-tour-2-266255_1510029029.JPG ,, 
