Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, Image ,, 
Nepal 10 Days 9 Nights Sightseeing Tour Around In Nepal ,, 88000 ,, 10days ,, nan ,, Private Tour   ,, nan ,, Eyes On Nepal (Nirwana Ceria Nepal Tours & Treks Pvt.Ltd) ,, Pokhara ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-10-days-9-nights-sightseeing-tour-around-in-nepal-tour-2-21937_1543288728.JPG ,, 
Everest Base Camp & Kalapathar Trek ,, 93390 ,, 12days ,, nan ,, Private Tour   ,, Hard ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-and-kalapathar-trek-tour-2-323623_1542179887.JPG ,, 
Ruby Valley Ganesh Himal Trek / Pangsang Pass ,, 65890 ,, 6days ,, 4.3  ,, Private Tour   ,, Moderate ,, Mount Adventure Holidays ,, Ruby Valley ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ruby-valley-ganesh-himal-trek-pangsang-pass-tour-2-326473_1521010858.JPG ,, 
Annapurna Circuit Trek ,, 151250 ,, 21days ,, 5.0  ,, Private Tour   ,, Hard ,, Breakfree Adventures Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-23734_1543292811.JPG ,, 
Langtang Valley Trek ,, 52250 ,, 10days ,, nan ,, Private Tour   ,, Moderate ,, Glorious Himalaya Trekking Pvt Ltd. ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-valley-trek-tour-2-267052_1543230587.JPG ,, 
Everest Base Camp Heli Trek ,, 339900 ,, 9days ,, nan ,, Private Tour   ,, Hard ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-heli-trek-tour-2-330347_1537770889.JPG ,, 
Around Kathmandu Trek ,, 44000 ,, 6days ,, 5.0  ,, Private Tour   ,, nan ,, Ace the Himalaya ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/around-kathmandu-trek-tour-2-269953_1510029029.JPG ,, 
Mera Peak Climbing ,, 214500 ,, 16days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mera-peak-climbing-tour-2-119288_1510029029.JPG ,, 
Nepal Multi Sports Adventure ,, 132000 ,, 11days ,, 5.0  ,, Private Tour   ,, nan ,, Ace the Himalaya ,, Pokhara ,, Wildlife Landscapes And Nature ,, Wildlife safaris ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-multi-sports-adventure-tour-2-269973_1510029029.JPG ,, 
Langtang Circuit Trekking ,, 82500 ,, 14days ,, 5.0  ,, Private and Group Tour   ,, Moderate ,, Nepal Eco Adventure Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-circuit-trekking-tour-2-295_1537765113.JPG ,, 
Everest Panorama Trekking - Private Trip ,, 95700 ,, 7days ,, nan ,, Private Tour   ,, Easy ,, Adventure Bound Treks and Tours ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-panorama-trekking-private-trip-tour-2-17723_1542781436.JPG ,, 
Manaslu Trek ,, 89650 ,, 14days ,, nan ,, Private Tour   ,, Medium ,, Unique Path Trekking & Expedition (P) LTD. ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-trek-tour-2-310495_1540809281.JPG ,, 
Everest View Trek ,, 85250 ,, 7days ,, 4.0  ,, Private Tour   ,, Moderate ,, Mount Adventure Holidays ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-view-trek-tour-2-463115_1548582282.JPG ,, 
Annapurna Himalayan Trek ,, 66000 ,, 10days ,, 5.0  ,, Private Tour   ,, Easy ,, Ace the Himalaya ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-himalayan-trek-tour-2-253_1510029029.JPG ,, 
Yala Peak Climbing Adventure ,, 173690 ,, 16 days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Yala Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/yala-peak-climbing-adventure-tour-2-264336_1547110742.JPG ,, 
Gokyo + Cho La Pass Trekking Adventure ,, 137940 ,, 16days ,, 5.0  ,, Private Tour   ,, Medium ,, Trekking Planner (P.) Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-cho-la-pass-trekking-adventure-tour-2-263559_1520818017.JPG ,, 
Everest Base Camp Trek ,, 122100 ,, 12days ,, nan ,, Private and Group Tour   ,, Medium ,, Glorious Himalaya Trekking Pvt Ltd. ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://i.ytimg.com/vi/fUvZDqAQSec/0.jpg ,, 
Annapurna Base Camp Trek ,, 51700 ,, 10days ,, 5.0  ,, Private Tour   ,, Moderate ,, Glorious Himalaya Trekking Pvt Ltd. ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-407444_1543230374.JPG ,, 
Everest Panorama View Trek ,, 74800 ,, 7days ,, nan ,, Private Tour   ,, Easy ,, Glorious Himalaya Trekking Pvt Ltd. ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-panorama-view-trek-tour-2-268275_1534490980.JPG ,, 
Island Peak Climbing From Chhukung ,, 104500 ,, 3days ,, nan ,, Group Tour - Max 20 participants   ,, nan ,, Green Valley Nepal Treks Pvt Ltd ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/island-peak-climbing-from-chhukung-tour-2-258007_1533627657.JPG ,, 
Gokyo Lakes And Gokyo Ri Trek ,, 126500 ,, 11days ,, 5.0  ,, Private and Group Tour   ,, Hard ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-lakes-and-gokyo-ri-trek-tour-2-23699_1542003752.JPG ,, 
Glimpse Of Nepal ,, 88000 ,, 8days ,, nan ,, Private Tour   ,, nan ,, Ace the Himalaya ,, Pokhara ,, Sightseeing Attractions Culture And History ,, Cultural religious and historic sites ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/glimpse-of-nepal-tour-2-269990_1510029029.JPG ,, 
Mount Everest Overland Jeep Tour - Tibet ,, 181060 ,, 13days ,, nan ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mount-everest-overland-jeep-tour-tibet-tour-2-265530_1510029029.JPG ,, 
Everest Base Camp -Lobuche East Peak Climbing ,, 203500 ,, 14days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Lobuche East Peak ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-lobuche-east-peak-climbing-tour-2-269987_1510029029.JPG ,, 
Everest Gokyo Lake Trek ,, 97900 ,, 12days ,, 3.5  ,, Private Tour   ,, Medium ,, Glorious Himalaya Trekking Pvt Ltd. ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-gokyo-lake-trek-tour-2-267888_1543230489.JPG ,, 
Manaslu-Tsum Valley Trek ,, 154000 ,, 21days ,, 5.0  ,, Private Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Manaslu-Tsum Valley ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-tsum-valley-trek-tour-2-203983_1510029029.JPG ,, 
India To Nepal ,, 115390 ,, 19days ,, 5.0  ,, Group Tour - Max 10 participants   ,, nan ,, Tucan Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/india-to-nepal-tour-2-261360_0.JPG ,, 
Annapurna Panorama Trek ,, 94600 ,, 12days ,, 5.0  ,, Private Tour   ,, Moderate ,, Buddha Treks and Expedition ,, Annapurna Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-panorama-trek-tour-2-266706_1510029029.JPG ,, 
Annapurna Sanctuary Trek ,, 204050 ,, 15days ,, 4.6  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-sanctuary-trek-tour-2-351625_0.JPG ,, 
Island Peak With Everest Base Camp ,, 225500 ,, 17days ,, 4.0  ,, Private Tour   ,, nan ,, Exciting Nepal Treks and Expedition ,, Island Peak ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/island-peak-with-everest-base-camp-tour-2-11965_1519963668.JPG ,, 
Makalu Basecamp Trek ,, 165000 ,, 15days ,, 5.0  ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Makalu Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/makalu-basecamp-trek-tour-2-459524_1548583304.JPG ,, 
Ghorepani Poon Hill Trek ,, 65450 ,, 10days ,, 5.0  ,, Private Tour   ,, Easy ,, Breakfree Adventures Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ghorepani-poon-hill-trek-tour-2-23775_1543228939.JPG ,, 
Everest Base Camp - 3 Passes Adventure Trek ,, 162800 ,, 21days ,, 5.0  ,, Private Tour   ,, Hard ,, Buddha Treks and Expedition ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-3-passes-adventure-trek-tour-2-267916_1510029029.JPG ,, 
Lobuche Peak With The Everest Base Camp Trek ,, 226050 ,, 18days ,, 5.0  ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Lobuche East Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/lobuche-peak-with-the-everest-base-camp-trek-tour-2-264317_1547117637.JPG ,, 
Manaslu Circuit Trek ,, 119900 ,, 15days ,, nan ,, Private Tour   ,, Hard ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-circuit-trek-tour-2-22136_1510029029.JPG ,, 
Langtang Valley Trekking ,, 53350 ,, 7days ,, nan ,, Private Tour   ,, Moderate ,, Green Valley Nepal Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-valley-trekking-tour-2-980_1510029029.JPG ,, 
Annapurna Circuit Trek ,, 98890 ,, 16days ,, nan ,, Private Tour   ,, Medium ,, Adventure Bound Treks and Tours ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-304739_1515674029.JPG ,, 
Kathmandu To Delhi ,, 192060 ,, 15days ,, 4.0  ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kathmandu-to-delhi-tour-2-354503_0.JPG ,, 
Manaslu Circuit Trek ,, 109890 ,, 14 days ,, 5.0  ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-circuit-trek-tour-2-271056_1548583855.JPG ,, 
11 Days EBC Trek Fly-out By Helicopter ,, 296450 ,, 11days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/11-days-ebc-trek-fly-out-by-helicopter-tour-2-23759_1510029029.JPG ,, 
Manaslu Trek ,, 133650 ,, 14days ,, 5.0  ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-trek-tour-2-612_0.JPG ,, 
Annapurna Base Camp Trek ,, 68200 ,, 11days ,, 5.0  ,, Private Tour   ,, Medium ,, Breakfree Adventures Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-23740_1522755757.JPG ,, 
Annapurna Circuit Trek ,, 156640 ,, 18days ,, 3.0  ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-26108_1543566500.JPG ,, 
Mini Annapurna Circuit ,, 221650 ,, 15days ,, 5.0  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mini-annapurna-circuit-tour-2-351604_0.JPG ,, 
Annapurna Panorama - 13 Days ,, 212740 ,, 13days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, On The Go Tours ,, Annapurna Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-panorama-13-days-tour-2-424217_1527859692.JPG ,, 
Sun Kosi River Rafting ,, 77000 ,, 1days ,, 5.0  ,, Group Tour   ,, nan ,, GRG Adventure Kayaking ,, Sun Koshi River ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/sun-kosi-river-rafting-tour-2-271040_1542186090.JPG ,, 
Gosaikunda Trekking 7-Days ,, 55000 ,, 7days ,, 5.0  ,, Private Tour   ,, Medium ,, Nepal Lion Tours and Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gosaikunda-trekking-7-days-tour-2-29700_1536304673.JPG ,, 
Everest In Full Picture ,, 121550 ,, 5days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-in-full-picture-tour-2-39885_1516959249.JPG ,, 
Inside-Out Kathmandu ,, 47080 ,, 4days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Beach Romance Getaways And Relaxation ,, Getaways and Short breaks ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/inside-out-kathmandu-tour-2-39887_1516117490.JPG ,, 
Langtang Valley Trek ,, 58850 ,, 8days ,, 5.0  ,, Private Tour   ,, Moderate ,, Exciting Nepal Treks and Expedition ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-valley-trek-tour-2-330143_1514083355.JPG ,, 
Nepal Adventure ,, 133100 ,, 10days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Pokhara ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-adventure-tour-2-26125_0.JPG ,, 
Kathmandu And Pokhara Tour ,, 72050 ,, 5days ,, 5.0  ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Sightseeing Attractions Culture And History ,, City sightseeing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kathmandu-and-pokhara-tour-tour-2-20722_1543210983.JPG ,, 
Cultural Tour Of Kathmandu Valley ,, 65450 ,, 6days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, City sightseeing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/cultural-tour-of-kathmandu-valley-tour-2-20878_1543230309.JPG ,, 
Experience Nepal ,, 176000 ,, 15days ,, 5.0  ,, Private Tour   ,, Easy ,, Ace the Himalaya ,, Pokhara ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/experience-nepal-tour-2-270021_1510029029.JPG ,, 
Annapurna & Chitwan In Luxury ,, 435050 ,, 13days ,, 4.8  ,, Group Tour - Max 12 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-and-chitwan-in-luxury-tour-2-325258_0.JPG ,, 
Langtang Trek ,, 75900 ,, 10days ,, 5.0  ,, Private Tour   ,, Easy ,, Trek Nepal Intl PVT.LTD ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-trek-tour-2-794_1512295494.JPG ,, 
Everest Base Camp Trekking ,, 167750 ,, 14days ,, 5.0  ,, Private Tour   ,, Medium ,, Trek Nepal Intl PVT.LTD ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trekking-tour-2-775_1512279035.JPG ,, 
Langtang Trek ,, 75900 ,, 10days ,, 5.0  ,, Private Tour   ,, Easy ,, Trek Nepal Intl PVT.LTD ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-trek-tour-2-794_1512295494.JPG ,, 
Everest Base Camp Trekking ,, 167750 ,, 14days ,, 5.0  ,, Private Tour   ,, Medium ,, Trek Nepal Intl PVT.LTD ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trekking-tour-2-775_1512279035.JPG ,, 
Classic Nepal Experience ,, 97900 ,, 8days ,, 5.0  ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/classic-nepal-experience-tour-2-271021_1521597359.JPG ,, 
Langtang Valley View Treks 8-Days ,, 55000 ,, 8days ,, nan ,, Private Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-valley-view-treks-8-days-tour-2-329906_1536304133.JPG ,, 
Upper Dolpo (Dolpa) Trek ,, 449900 ,, 28days ,, nan ,, Private Tour   ,, Hard ,, Unique Adventure International Pvt Ltd ,, Upper Dolpo Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-dolpo-dolpa-trek-tour-2-19698_1510029029.JPG ,, 
Nepal And Tibet Tour ,, 237600 ,, 12days ,, nan ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Kathmandu ,, Wildlife Landscapes And Nature ,, Wildlife safaris ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-and-tibet-tour-tour-2-265524_1510029029.JPG ,, 
Kanchenjunga Base Camp Trek ,, 214500 ,, 20days ,, nan ,, Private Tour   ,, Medium ,, Adventure Bound Treks and Tours ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/kanchenjunga-base-camp-trek-tour-2-352462_1537427859.JPG ,, 
Everest Base Camp & Gokyo Lakes ,, 221650 ,, 19days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-and-gokyo-lakes-tour-2-354745_0.JPG ,, 
Mera Peak Climbing ,, 246950 ,, 20days ,, 5.0  ,, Private Tour   ,, nan ,, Buddha Treks and Expedition ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mera-peak-climbing-tour-2-138986_1546235902.JPG ,, 
1 Hour Scenic Mt. Everest Flight ,, 24090 ,, 1hours ,, 4.9  ,, Group Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Day Tours and Excursions ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/1-hour-scenic-mt-everest-flight-tour-2-407962_1529571183.JPG ,, 
Nar Phu Valley Trek ,, 85250 ,, 9days ,, 5.0  ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Nar Phu Valley Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nar-phu-valley-trek-tour-2-352980_1548581461.JPG ,, 
Chitwan National Park Safari ,, 17600 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Wildlife safaris ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/chitwan-national-park-safari-tour-2-330079_1523880071.JPG ,, 
Tamang Heritage Trail Trekking ,, 68750 ,, 9days ,, nan ,, Private Tour   ,, Moderate ,, Exciting Nepal Treks and Expedition ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/tamang-heritage-trail-trekking-tour-2-12128_0.JPG ,, 
Helambu Culture Trek ,, 65890 ,, 6days ,, nan ,, Private Tour   ,, Easy ,, Mount Adventure Holidays ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/helambu-culture-trek-tour-2-270765_1521012940.JPG ,, 
Dhampus Peak Climbing ,, 313500 ,, 24days ,, nan ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Dhampus Peak ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/dhampus-peak-climbing-tour-2-328376_1547119360.JPG ,, 
Explore Kathmandu ,, 45650 ,, 6days ,, 4.5  ,, Private Tour   ,, nan ,, Ace the Himalaya ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Cultural religious and historic sites ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/explore-kathmandu-tour-2-270016_1510029029.JPG ,, 
Mardi Himal Trek ,, 71500 ,, 9days ,, nan ,, Private Tour   ,, Moderate ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Mardi Himal Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mardi-himal-trek-tour-2-268994_1510029029.JPG ,, 
Mera Peak Climbing - 15 Days ,, 218900 ,, 15days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Mera Peak ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/mera-peak-climbing-15-days-tour-2-65408_1530430288.JPG ,, 
Langtang Trek ,, 63250 ,, 8days ,, nan ,, Private Tour   ,, Moderate ,, Outshine Adventure Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/langtang-trek-tour-2-86517_1510029029.JPG ,, 
Short Annapurna Base Camp ,, 82500 ,, 8days ,, nan ,, Private Tour   ,, Moderate ,, Adventure Mountain Explore Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/short-annapurna-base-camp-tour-2-565_1510029029.JPG ,, 
Tour Of Kathmandu Pokhara & Chitwan ,, 82500 ,, 8days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Boat Tours Water Sports And Marine Wildlife ,, Sailing yachting and motor boating ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/tour-of-kathmandu-pokhara-and-chitwan-tour-2-23768_1510029029.JPG ,, 
Chitwan Extension ,, 73480 ,, 4days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/chitwan-extension-tour-2-39879_1544433767.JPG ,, 
Chitwan National Park Safari ,, 19800 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Adventure Bound Treks and Tours ,, Chitwan National Park ,, Boat Tours Water Sports And Marine Wildlife ,, Kayaking and canoeing ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/chitwan-national-park-safari-tour-2-433334_1530434014.JPG ,, 
Green Park Chitwan - 4 Days ,, 34760 ,, 4days ,, nan ,, Private Tour   ,, nan ,, Master Himalaya Treks and Expedition Pvt Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/green-park-chitwan-4-days-tour-2-342294_1518702960.JPG ,, 
Upper Mustang - Lo Manthang Trek ,, 203500 ,, 18days ,, 5.0  ,, Private Tour   ,, Medium ,, Buddha Treks and Expedition ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/upper-mustang-lo-manthang-trek-tour-2-267771_1510029029.JPG ,, 
Nepal Tour 5 Night 6 Days ,, 94050 ,, 6days ,, nan ,, Private Tour   ,, nan ,, Nepal Lion Tours and Treks Pvt Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-tour-5-night-6-days-tour-2-352333_1518445176.JPG ,, 
