Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, 
Annapurna Sanctuary ,, 129800 ,, 16days ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Kathmandu Valley Hiking ,, 24200 ,, 4days ,, 5.0  ,, Private Tour   ,, Easy ,, Adventure Bound Treks and Tours ,, Nagarkot ,, Adventure And Sport Activities ,, Trekking ,, 
4 Days Trek To Poon Hill ,, 37950 ,, 4days ,, 5.0  ,, Group Tour - Max 12 participants   ,, Moderate ,, Mosaic Adventure ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Around Annapurna Trek ,, 127600 ,, 21days ,, 4.9  ,, Private Tour   ,, Hard ,, Buddha Treks and Expedition ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek ,, 85250 ,, 14days ,, 4.8  ,, Private Tour   ,, Moderate ,, Unique Path Trekking & Expedition (P) LTD. ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Ghorepani Poonhill Trek ,, 39050 ,, 5days ,, 5.0  ,, Private Tour   ,, Easy ,, Outshine Adventure Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek ,, 108900 ,, 18days ,, 4.9  ,, Private Tour   ,, Medium ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek ,, 120890 ,, 12days ,, 4.8  ,, Private Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Ghorepani Poon Hill Sunrise Trekking ,, 60500 ,, 6days ,, 5.0  ,, Private Tour   ,, Moderate ,, Nepal Hiking Team ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Panorama View Trek - 6 Days ,, 90200 ,, 6days ,, 4.3  ,, Private Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp With Island Peak ,, 175890 ,, 19days ,, 5.0  ,, Group Tour   ,, Very Hard ,, Ace the Himalaya ,, Island Peak ,, Adventure And Sport Activities ,, Trekking ,, 
Island Peak Climbing With Everest Base Camp And Gokyo ,, 241450 ,, 23days ,, 4.4  ,, Private Tour   ,, nan ,, Buddha Treks and Expedition ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Langtang Valley Trek ,, 54890 ,, 8days ,, 4.8  ,, Private and Group Tour   ,, Moderate ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Nagarkot Trek (Trek In Kathmandu) ,, 20790 ,, 3days ,, 4.2  ,, Private Tour   ,, Easy ,, Breakfree Adventures Pvt Ltd ,, Nagarkot ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp Trek - Expedition Departures ,, 358050 ,, 18days ,, 4.9  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Island Peak Climb From Chhukung (Group Tour) ,, 82500 ,, 4days ,, 3.8  ,, Private and Group Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Island Peak ,, Adventure And Sport Activities ,, Climbing ,, 
