Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, 
Kolkata To Kathmandu Overland ,, 143550 ,, 16days ,, 4.0  ,, Group Tour - Max 22 participants   ,, nan ,, Intrepid Travel ,, Kolkata ,, Air Tours Road Trips And Transfers ,, Overland Road trips ,, 
Lobuche East Peak Climb With Everest Base Camp Trek ,, 218900 ,, 16days ,, nan ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Lobuche East Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Mera Peak 6470m ,, 242000 ,, 14days ,, nan ,, Private Tour   ,, nan ,, Mount Adventure Holidays ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Lumba-Sumba Trek ,, 270050 ,, 20days ,, nan ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Lumba Sumba Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Upper Dolpo ,, 330000 ,, 21days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Upper Dolpo Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Trek ,, 178750 ,, 20days ,, 5.0  ,, Private Tour   ,, Medium ,, Outshine Adventure Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Chitwan Jungle Safari - 2 Nights And 3 Days  ,, 32450 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Friends Adventure Team Pvt. Ltd ,, Chitwan National Park ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, 
Kanchenjunga Base Camp Trek ,, 269500 ,, 26days ,, nan ,, Private Tour   ,, Hard ,, Glorious Himalaya Trekking Pvt Ltd. ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Trek ,, 109890 ,, 15days ,, nan ,, Private and Group Tour   ,, Medium ,, Adventure Bound Treks and Tours ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Gosainkunda Trek ,, 58850 ,, 12days ,, nan ,, Private Tour   ,, Hard ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Kailash Saga Dawa Festival ,, 574640 ,, 21days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, G Adventures ,, Beijing Tours ,, Explorer ,, Explorer ,, 
Dhampus Peak Climb ,, 229900 ,, 11days ,, nan ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Dhampus Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Annapurna Circuit Trek 13 Days ,, 96250 ,, 13days ,, nan ,, Private Tour   ,, Hard ,, Nepal Lion Tours and Treks Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 219340 ,, 16days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Mustang And High Passes Trek ,, 317900 ,, 27days ,, nan ,, Private Tour   ,, Hard ,, Unique Adventure International Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Highlights Of Nepal - 9 Days ,, 140580 ,, 9days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, On The Go Tours ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Annapurna Base Camp Trek And Tent Peak Climbing - 14 Days ,, 185900 ,, 14days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Icicles Adventure Treks and Tours Pvt Ltd ,, Tent Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Essential Nepal ,, 84920 ,, 9days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Travel Talk ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Everest 3 Passes Trek ,, 121000 ,, 16 days ,, nan ,, Private Tour   ,, Hard ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Tamang Heritage Trek ,, 55000 ,, 7days ,, 5.0  ,, Private and Group Tour   ,, Moderate ,, Nepal Eco Adventure Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Upper Dolpo Trek - Private Tour ,, 503360 ,, 22days ,, nan ,, Private Tour   ,, Hard ,, Adventure Bound Treks and Tours ,, Upper Dolpo Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Circuit Trek ,, 100100 ,, 17days ,, 5.0  ,, Private Tour   ,, Hard ,, Himalayan Trekking and Tours (P) Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Himalayan Ways (from Kathmandu) ,, 20790 ,, 6days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Upper Dolpo Trekking ,, 495000 ,, 25days ,, nan ,, Private Tour   ,, Hard ,, Glorious Himalaya Trekking Pvt Ltd. ,, Upper Dolpo Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek ,, 109450 ,, 13days ,, 5.0  ,, Private Tour   ,, Medium ,, Outshine Adventure Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest High Passes Trekking ,, 166100 ,, 20days ,, 5.0  ,, Private Tour   ,, Hard ,, Breakfree Adventures Pvt Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Dhaulagiri Circuit Trek ,, 363000 ,, 20days ,, nan ,, Private Tour   ,, Very Hard ,, Nepal Eco Adventure Pvt Ltd ,, Dhaulagiri Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Lobuche East Peak Climbing ,, 192500 ,, 12days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Lobuche East Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Makalu Base Camp ,, 206800 ,, 15days ,, nan ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Makalu Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna In Style ,, 280500 ,, 10days ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Peregrine Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo And Everest Base Camp ,, 196900 ,, 17days ,, 5.0  ,, Private Tour   ,, Hard ,, Trek Nepal Intl PVT.LTD ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Upper Mustang Trekking ,, 198000 ,, 17days ,, nan ,, Private Tour   ,, Medium ,, Breakfree Adventures Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp - Chola Pass- Gokyo Trek ,, 135300 ,, 15days ,, nan ,, Private Tour   ,, Moderate ,, Adventure Bound Treks and Tours ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Makalu Base Camp Trek ,, 253000 ,, 16days ,, 5.0  ,, Private Tour   ,, Hard ,, Outshine Adventure Pvt Ltd ,, Makalu Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Short Trek In Kathmandu Valley ,, 45100 ,, 5days ,, nan ,, Private Tour   ,, Easy ,, Adventure Connexion Pvt Ltd ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
 Kanchenjunga Circuit Trek ,, 242000 ,, 23days ,, nan ,, Private Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, 
Ghorepani Poonhill Trek ,, 46200 ,, 8days ,, nan ,, Private Tour   ,, Easy ,, Glorious Himalaya Trekking Pvt Ltd. ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Himalaya Langtang Trek 8D/7N ,, 48840 ,, 8days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
GHT - Nepal - The Full Traverse ,, 2934250 ,, 150days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Journey To Mount Kailash ,, 480590 ,, 20days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Lhasa ,, Adventure And Sport Activities ,, Trekking ,, 
Local Living Nepal ,, 46970 ,, 7days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Everest Three High Passes Trek ,, 159500 ,, 17days ,, nan ,, Private Tour   ,, Hard ,, Glorious Himalaya Trekking Pvt Ltd. ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Manaslu Circuit Trek 14 Days ,, 107250 ,, 14days ,, 5.0  ,, Private Tour   ,, Medium ,, Nepal Lion Tours and Treks Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Rara Lake Trek  ,, 151800 ,, 12days ,, nan ,, Private Tour   ,, Easy ,, Unique Adventure International Pvt Ltd ,, Rara Lake ,, Adventure And Sport Activities ,, Trekking ,, 
Makalu Base Camp Trekking ,, 198000 ,, 17days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Makalu Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Kathmandu To Mumbai Overland ,, 255200 ,, 31days ,, 5.0  ,, Group Tour - Max 21 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Air Tours Road Trips And Transfers ,, Overland Road trips ,, 
Gokyo And Everest Base Camp ,, 142450 ,, 15days ,, 4.5  ,, Private and Group Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Valley Trek ,, 66000 ,, 10days ,, 5.0  ,, Private Tour   ,, Moderate ,, Ace the Himalaya ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
 Langtang Tamang Heritage Trail Trekking  ,, 54450 ,, 8days ,, 5.0  ,, Private Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Tamang Heritage Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit - Private Trip ,, 119900 ,, 14days ,, nan ,, Private Tour   ,, Medium ,, Exciting Nepal Treks and Expedition ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna & Everest In Style ,, 625900 ,, 18days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Peregrine Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Foothills Trek 3D/2N ,, 33330 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Pokhara Tours ,, Explorer ,, Explorer ,, 
Yala Peak Climbing  ,, 170500 ,, 11days ,, nan ,, Private Tour   ,, nan ,, Nepal Eco Adventure Pvt Ltd ,, Yala Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Tibetan Highlight: Lhasa Everest Base Camp Tour ,, 195800 ,, 8days ,, 5.0  ,, Group Tour - Max 15 participants   ,, Easy ,, Unique Adventure International Pvt Ltd ,, Everest Base Camp Trek ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Tsum Valley Trek ,, 109890 ,, 14days ,, nan ,, Private Tour   ,, Medium ,, Mount Adventure Holidays ,, Manaslu-Tsum Valley ,, Adventure And Sport Activities ,, Trekking ,, 
One-hour Mountain Flight Over Everest ,, 25300 ,, 1hours ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, Green Valley Nepal Treks Pvt Ltd ,, Kathmandu ,, Air Tours Road Trips And Transfers ,, Mountain flights ,, 
Delhi To Kathmandu Adventure ,, 142010 ,, 15days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Delhi Tours ,, Explorer ,, Explorer ,, 
Delhi To Kathmandu On A Shoestring ,, 96360 ,, 15days ,, nan ,, Group Tour - Max 18 participants   ,, nan ,, G Adventures ,, Delhi Tours ,, Explorer ,, Explorer ,, 
Upper Dolpo Trek ,, 302500 ,, 20days ,, nan ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Upper Dolpo Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Chitwan National Park Adventure 3D/2N ,, 22880 ,, 3days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Chitwan National Park Tours ,, Explorer ,, Explorer ,, 
Everest Base Camp Trek ,, 138050 ,, 14days ,, nan ,, Private and Group Tour   ,, Easy ,, Nepal Guide Treks & Expedition ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Chitwan National Park Adventure 3D/2N (from Kathmandu) ,, 28160 ,, 3days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Everest In Style  ,, 341000 ,, 9days ,, nan ,, Group Tour - Max 12 participants   ,, Easy ,, Peregrine Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Two Peak Climbing ,, 340120 ,, 20 days ,, nan ,, Private and Group Tour   ,, nan ,, Nepal Guide Treks & Expedition ,, Mera Peak ,, Adventure And Sport Activities ,, Climbing ,, 
Scenic Mount Everest Helicopter Tour ,, 148500 ,, 4hours ,, 4.7  ,, Private Tour   ,, nan ,, Unique Adventure International Pvt Ltd ,, Everest Region ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, 
Everest Gokyo Lake 11 Days ,, 104500 ,, 11days ,, nan ,, Private Tour   ,, Medium ,, Nepal Lion Tours and Treks Pvt Ltd ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Kanchenjunga Trek ,, 324500 ,, 23days ,, nan ,, Private Tour   ,, Medium ,, Trek Nepal Intl PVT.LTD ,, Kanchenjunga Base Camp ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek 16D/15N (From Kathmandu) ,, 64240 ,, 15days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Annapurna Poon Hill Trek 5D/4N ,, 45870 ,, 5days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Pokhara Tours ,, Explorer ,, Explorer ,, 
Poonhill Trek ,, 60500 ,, 7days ,, nan ,, Private Tour   ,, Easy ,, Trek Nepal Intl PVT.LTD ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Valley Trek ,, 93500 ,, 11days ,, 5.0  ,, Private Tour   ,, Moderate ,, Nepal Lion Tours and Treks Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Highlights Of India & Nepal ,, 256850 ,, 19days ,, 4.0  ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Highlights Of Bhutan & Nepal - 15 Days ,, 605550 ,, 15days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, On The Go Tours ,, Paro Tours ,, Explorer ,, Explorer ,, 
Everest Base Camp Helicopter Tour - 1 Day ,, 172150 ,, 1days ,, 5.0  ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Air Tours Road Trips And Transfers ,, Helicopter Tours ,, 
Upper Mustang Trek ,, 269500 ,, 15days ,, nan ,, Private Tour   ,, Moderate ,, Trek Nepal Intl PVT.LTD ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Panorama Trek - Private Trip ,, 96250 ,, 8days ,, nan ,, Private Tour   ,, nan ,, Exciting Nepal Treks and Expedition ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest-at-a-glance Trek ,, 112750 ,, 12days ,, nan ,, Private Tour   ,, Moderate ,, Buddha Treks and Expedition ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp With Gokyo Valley Trek ,, 181500 ,, 19days ,, 5.0  ,, Private Tour   ,, Hard ,, Ace the Himalaya ,, Gokyo Lakes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Delhi To Kathmandu ,, 264550 ,, 15days ,, 4.4  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Cultural religious and historic sites ,, 
Nepal Bhutan Tour ,, 244530 ,, 12days ,, nan ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Kathmandu Tours ,,  ,,  ,, 
Upper Mustang Trekking ,, 178200 ,, 14days ,, nan ,, Private and Group Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Mera Peak Climb ,, 451550 ,, 21days ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Climbing ,, 
Makalu Base Camp Trekking - Private Trip ,, 229900 ,, 21days ,, nan ,, Private Tour   ,, nan ,, Adventure Bound Treks and Tours ,, Makalu Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Nepal: Himalaya Highlights ,, 213070 ,, 10days ,, nan ,, Group Tour - Max 15 participants   ,, nan ,, G Adventures ,, Kathmandu ,, Wildlife Landscapes And Nature ,, Wildlife ,, 
Everest View Luxury Lodges Trek ,, 449900 ,, 16days ,, nan ,, Private Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Kathmandu Rim Bike Tour ,, 32450 ,, 3days ,, nan ,, Private Tour   ,, nan ,, Mount Adventure Holidays ,, Kathmandu ,, Adventure And Sport Activities ,, Mountain biking ,, 
Nagarkot Trek 2 Days 1 Night ,, 14300 ,, 2days ,, 5.0  ,, Private Tour   ,, Easy ,, Eyes On Nepal Tours & Treks Pvt.Ltd ,, Nagarkot ,, Adventure And Sport Activities ,, Trekking ,, 
Kathmandu Valley Day Tour ,, 6600 ,, 6 hours ,, 4.3  ,, Private Tour   ,, nan ,, Green Valley Nepal Treks Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Langtang Valley Trek ,, 76450 ,, 11days ,, nan ,, Private Tour   ,, Medium ,, Breakfree Adventures Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Trisuli River Rafting Day Trip ,, 7150 ,, 1days ,, 4.4  ,, Private Tour   ,, nan ,, GRG Adventure Kayaking ,, Trisuli River ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, 
Manaslu Circuit Trek ,, 137500 ,, 19days ,, nan ,, Private Tour   ,, Medium ,, Glorious Himalaya Trekking Pvt Ltd. ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Base Camp Trek ,, 57750 ,, 11days ,, 5.0  ,, Private Tour   ,, Hard ,, Base Camp Adventure Treks & Expedition Pvt. Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit Trek ,, 123750 ,, 15days ,, nan ,, Private Tour   ,, Medium ,, Trek Nepal Intl PVT.LTD ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Base Camp - 3 Passes Trek ,, 225500 ,, 19days ,, nan ,, Private Tour   ,, Hard ,, Trek Nepal Intl PVT.LTD ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Gokyo And Everest Base Camp Trek ,, 171600 ,, 14days ,, 5.0  ,, Private Tour   ,, Moderate ,, Advanced Adventures Pvt Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Annapurna Circuit ,, 110000 ,, 15days ,, nan ,, Private Tour   ,, Hard ,, Mosaic Adventure ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Tamang Heritage & Langtang Valley Trek ,, 141900 ,, 15days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Adventure And Sport Activities ,, Adventure ,, 
Everest View Trekking ,, 98890 ,, 8days ,, nan ,, Private Tour   ,, Moderate ,, Trekking Planner (P.) Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Explore Kathmandu City ,, 5390 ,, 1days ,, nan ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Upper Mustang Trek ,, 179300 ,, 15days ,, 5.0  ,, Private Tour   ,, Hard ,, Friends Adventure Team Pvt. Ltd ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Nagarkot Day Hiking ,, 8250 ,, 1days ,, nan ,, Private Tour   ,, nan ,, Adventure Bound Treks and Tours ,, Nagarkot ,, Adventure And Sport Activities ,, Trekking ,, 
Everest Helicopter Tour ,, 147950 ,, 4hours ,, 4.4  ,, Private Tour   ,, nan ,, Himalayan Leisure Inc. ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Day Tours and Excursions ,, 
Canyoning  ,, 9350 ,, 1days ,, 5.0  ,, Group Tour - Max 16 participants   ,, nan ,, Paddle Nepal Pvt Ltd ,, Pokhara ,, Adventure And Sport Activities ,, Canyoning ,, 
Cooking In Kathmandu ,, 7260 ,, 4hours ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Tours ,, Culture History and Heritage Tours ,, 
Annapurna Base Camp Trek ,, 108900 ,, 12days ,, nan ,, Private Tour   ,, Moderate ,, Trek Nepal Intl PVT.LTD ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Api Himal Exploratory ,, 584100 ,, 32days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Nepal Family Holiday With Teenagers ,, 202400 ,, 11days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Family ,, Family ,, 
Everest View Trekking ,, 115500 ,, 10days ,, nan ,, Private Tour   ,, Moderate ,, Breakfree Adventures Pvt Ltd ,, Everest Panorama Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Langtang Valley Trek ,, 80300 ,, 13days ,, nan ,, Private Tour   ,, Medium ,, Buddha Treks and Expedition ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Upper Mustang Trek ,, 209000 ,, 18days ,, nan ,, Private Tour   ,, Moderate ,, Glorious Himalaya Trekking Pvt Ltd. ,, Upper Mustang Trek ,, Adventure And Sport Activities ,, Trekking ,, 
Nepal & India Overland ,, 654500 ,, 82days ,, 5.0  ,, Group Tour - Max 21 participants   ,, nan ,, Intrepid Travel ,, Kathmandu ,, Air Tours Road Trips And Transfers ,, Overland Road trips ,, 
Trisuli River Rafting - Kathmandu To Pokhara ,, 6270 ,, 1days ,, nan ,, Group Tour - Max 24 participants   ,, nan ,, Paddle Nepal Pvt Ltd ,, Trisuli River ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, 
Nepal Tibet Bhutan Tour ,, 348040 ,, 17days ,, 4.0  ,, Private Tour   ,, nan ,, Himalayan Trekking and Tours (P) Ltd ,, Kathmandu Tours ,,  ,,  ,, 
Bhutan: Druk Path Trek ,, 562650 ,, 12days ,, 4.6  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Festivals Of Bhutan ,, 485650 ,, 11days ,, 4.7  ,, Group Tour - Max 16 participants   ,, nan ,, Exodus Travels ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Cultural religious and historic sites ,, 
1 Hour Mountain Flight ,, 26400 ,, 1hours ,, 5.0  ,, Private Tour   ,, nan ,, Nepal Lion Tours and Treks Pvt Ltd ,, Kathmandu ,, Air Tours Road Trips And Transfers ,, Mountain flights ,, 
 Kathmandu By Night ,, 5060 ,, 2-3hours ,, 5.0  ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Tours ,, Culture History and Heritage Tours ,, 
Everest Circuit & The Cho La ,, 313390 ,, 21days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Visit The Sleeping Buddha ,, 6270 ,, 6-7hours ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Urban Adventures ,, Kathmandu ,, Adventure And Sport Activities ,, Trekking ,, 
Sightseeing Day Tour In Kathmandu ,, 9350 ,, 1hours ,, nan ,, Private Tour   ,, nan ,, Exciting Nepal Treks and Expedition ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Sightseeing Tours ,, 
Upper Seti River Rafting - Best Pokhara Day Trip ,, 5610 ,, 3hours ,, 5.0  ,, Group Tour - Max 24 participants   ,, nan ,, Paddle Nepal Pvt Ltd ,, Pokhara ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, 
Explore India & Nepal ,, 376090 ,, 17days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, G Adventures ,, Delhi Tours ,, Explorer ,, Explorer ,, 
10 Days Sunkoshi River Rafting Tour ,, 62150 ,, 10days ,, nan ,, Private Tour   ,, nan ,, Nepal River Runner ,, Sun Koshi River ,, Boat Tours Water Sports And Marine Wildlife ,, Rafting ,, 
Honeymoon Tour In Nepal ,, 88000 ,, 9days ,, nan ,, Private Tour   ,, nan ,, Nepal Lion Tours and Treks Pvt Ltd ,, Kathmandu ,, Beach Romance Getaways And Relaxation ,, Romantic ,, 
Nepal: Hike Bike & Raft ,, 157300 ,, 12days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Annapurna Base Camp Trek 10D/9N (from Pokhara) ,, 59290 ,, 10days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Pokhara Tours ,, Explorer ,, Explorer ,, 
Annapurna Base Camp Trek 12D/11N (From Kathmandu) ,, 65780 ,, 12days ,, nan ,, Private Tour   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Kathmandu Welcome Package 3D/2N ,, 13640 ,, 3days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Nepal Adventure 8D/7N ,, 65120 ,, 8days ,, nan ,, Group Tour - Max 10 participants   ,, nan ,, Bamba Experience ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Highway To Himalayas - 16 Days ,, 394460 ,, 16days ,, nan ,, Group Tour - Max 24 participants   ,, nan ,, On The Go Tours ,, Delhi Tours ,, Explorer ,, Explorer ,, 
Essence Of Nepal & Bhutan  ,, 818950 ,, 20days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Peregrine Adventures ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
Nepal & Bhutan Journey ,, 653950 ,, 18days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Intrepid Travel ,, Kathmandu Tours ,, Explorer ,, Explorer ,, 
