'Name of Package','Price','Duration','Rating','Tour Type','Trek Difficulty',
,,,,,,
'Lobuche East Peak Climbing',1750,'12days','nan','Private Tour  ','nan',
,,,,,,
'Makalu Base Camp',1880,'15days','nan','Private Tour  ','Hard',
,,,,,,
'Annapurna In Style',2550,'10days',5,'Group Tour - Max 12 participants  ','nan',
,,,,,,
'Gokyo And Everest Base Camp',1790,'17days',5,'Private Tour  ','Hard',
,,,,,,
'Upper Mustang Trekking',1800,'17days','nan','Private Tour  ','Medium',
,,,,,,
'Everest Base Camp - Chola Pass- Gokyo Trek',1230,'15days','nan','Private Tour  ','Moderate',
,,,,,,
'Makalu Base Camp Trek',2300,'16days',5,'Private Tour  ','Hard',
,,,,,,
'Short Trek In Kathmandu Valley',410,'5days','nan','Private Tour  ','Easy',
,,,,,,
' Kanchenjunga Circuit Trek',2200,'23days','nan','Private Tour  ','Hard',
,,,,,,
'Ghorepani Poonhill Trek',420,'8days','nan','Private Tour  ','Easy',
,,,,,,
'Himalaya Langtang Trek 8D/7N',444,'8days','nan','Private Tour  ','nan',
,,,,,,
'GHT - Nepal - The Full Traverse',26675,'150days','nan','Group Tour - Max 10 participants  ','nan',
,,,,,,
'Journey To Mount Kailash',4369,'20days','nan','Group Tour - Max 16 participants  ','nan',
